店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
神戸元町ドリア 三井アウトレットパーク札幌北広島店,050-5489-2820,,北海道,北広島市大曲幸町,3-7-6,,https://h310020.gorp.jp/,True
四季の台所 海芳,050-5494-0850,,新潟県,柏崎市東本町,1-15-21,,https://r909000.gorp.jp/,True
しゃぶしゃぶ・日本料理 木曽路 東刈谷店,050-5486-3024,,愛知県,刈谷市東刈谷町,1-21-8,,https://n011465.gorp.jp/,True
牛豚馬鶏 二本松店,050-5486-4354,,福島県,二本松市槻木,117,,https://gyutonbakei-nihonmatsu.gorp.jp/,True
炉端かば 三次店,050-5485-7029,,広島県,三次市十日市中,2-2-6,,https://y039007.gorp.jp/,True
炭火焼ブルスタ BLUSTA 伊達店,050-5494-2675,,北海道,伊達市舟岡町,198-4,,https://ha2w904.gorp.jp/,True
あぐーの隠れ家 冨着店,050-5486-3103,agu-honten@okinawa-up.com,沖縄県,国頭郡恩納村冨着,1-1,,https://agukakurega-fuchaku.gorp.jp/,True
目利きの銀次 新潟駅前店,025-247-2888,,新潟県,新潟市中央区花園,1-4-6,柳都ビル1F,https://r042371.gorp.jp/,True
漁師食堂 大ばんぶる舞 丼ぶりかんじょう 総本山,050-5486-4956,,沖縄県,沖縄市宮里,3-7-2,,https://yakinoouzeki-koza.gorp.jp/,True
鶏と蕎麦。玄,050-5487-4862,,大阪府,富田林市若松町西,3-1594-1,,https://gen-tondabayashi.gorp.jp/,True
個室空間 湯葉豆腐料理 千年の宴 栃木駅店,0282-25-3488,,栃木県,栃木市沼和田町,1-35,栃木駅構内1F,https://e828774.gorp.jp/,True
個室空間 湯葉豆腐料理 千年の宴 鳴海駅前店,052-621-6988,,愛知県,名古屋市緑区鳴海町字向田,95,リベスタ鳴海1F,https://n862443.gorp.jp/,True
ヌードルキッチン テラコスタ,050-5494-5977,,静岡県,静岡市駿河区用宗,4-19-12,ハットパーク用宗2F,https://nbye901.gorp.jp/,True
蔵cafe＆dining coconomi（ココノミ）,050-5492-0797,,静岡県,藤枝市岡部町岡部,817,大旅籠柏屋,https://nc07500.gorp.jp/,True
ステーキのどん三鷹店,050-5493-4553,,東京都,三鷹市新川,2-8-19,,https://geg6632.gorp.jp/,True
旬彩厨房 花いた,050-5486-6065,,鹿児島県,鹿屋市共栄町,17-3,,https://hanaita.gorp.jp/,True
肉寿司・焼鳥食べ放題 隠れ家個室 もみじ劇場 広島流川袋町店,0829-09-9515,,広島県,広島市中区新天地,5-13,新天地プラザ5F,https://ya69100.gorp.jp/,True
契約農場直送 たんぽぽ 弁天町店,050-5485-7290,,大阪府,大阪市港区波除,3-8-12,,https://tanpopo-b.gorp.jp/,True
炭焼肉 石田屋。 石垣店,050-5486-5503,,沖縄県,石垣市大川,,730COURT3F,https://fbae701.gorp.jp/,True
本場中華料理×手作り点心 百香亭 守谷店,050-5485-6120,,茨城県,守谷市本町,204-1,,https://hyakkoutei-moriyaten.gorp.jp/,True
個室×肉炉端 馬肉 弁慶 米子店,050-5488-1987,,鳥取県,米子市明治町,31,,https://y500727.gorp.jp/,True
しゃぶしゃぶ太郎 岐阜正木店,050-5489-1661,,岐阜県,岐阜市下土居,277-1,,https://naz5239.gorp.jp/,True
和心 にしやま,050-5489-4781,,福岡県,筑紫野市湯町,1-15-17,,https://fbr7700.gorp.jp/,True
